dataset,model,k_features,auc,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,fold
Doppler,Linear SVM,20,0.7789855072463768,0.7714285714285715,0.5,0.9130434782608695,0.75,0.6,21,2,6,6,4
Doppler,Quadratic SVM,20,0.7638888888888888,0.6944444444444444,0.16666666666666666,0.9583333333333334,0.6666666666666666,0.26666666666666666,23,1,10,2,0
Doppler,Quadratic SVM,20,0.6354166666666667,0.6111111111111112,0.25,0.7916666666666666,0.375,0.3,19,5,9,3,1
Doppler,Quadratic SVM,20,0.6423611111111112,0.75,0.3333333333333333,0.9583333333333334,0.8,0.47058823529411764,23,1,8,4,2
Doppler,Quadratic SVM,20,0.8369565217391304,0.7428571428571429,0.25,1.0,1.0,0.4,23,0,9,3,3
Doppler,Quadratic SVM,20,0.6884057971014492,0.6857142857142857,0.16666666666666666,0.9565217391304348,0.6666666666666666,0.26666666666666666,22,1,10,2,4
Doppler,Cubic SVM,20,0.7256944444444444,0.7222222222222222,0.25,0.9583333333333334,0.75,0.375,23,1,9,3,0
Doppler,Cubic SVM,20,0.6805555555555556,0.6111111111111112,0.25,0.7916666666666666,0.375,0.3,19,5,9,3,1
Doppler,Cubic SVM,20,0.7430555555555555,0.7222222222222222,0.25,0.9583333333333334,0.75,0.375,23,1,9,3,2
Doppler,Cubic SVM,20,0.9275362318840581,0.8,0.4166666666666667,1.0,1.0,0.5882352941176471,23,0,7,5,3
Doppler,Cubic SVM,20,0.7717391304347827,0.7142857142857143,0.16666666666666666,1.0,1.0,0.2857142857142857,23,0,10,2,4
Doppler,Fine Gaussian SVM,20,0.3715277777777778,0.6111111111111112,0.0,0.9166666666666666,0.0,0.0,22,2,12,0,0
Doppler,Fine Gaussian SVM,20,0.6979166666666666,0.6666666666666666,0.0,1.0,0.0,0.0,24,0,12,0,1
Doppler,Fine Gaussian SVM,20,0.6076388888888888,0.6666666666666666,0.0,1.0,0.0,0.0,24,0,12,0,2
Doppler,Fine Gaussian SVM,20,0.6847826086956521,0.6857142857142857,0.08333333333333333,1.0,1.0,0.15384615384615385,23,0,11,1,3
Doppler,Fine Gaussian SVM,20,0.32608695652173914,0.5714285714285714,0.0,0.8695652173913043,0.0,0.0,20,3,12,0,4
Doppler,Medium Gaussian SVM,20,0.8402777777777778,0.75,0.3333333333333333,0.9583333333333334,0.8,0.47058823529411764,23,1,8,4,0
Doppler,Medium Gaussian SVM,20,0.7361111111111112,0.7222222222222222,0.5,0.8333333333333334,0.6,0.5454545454545454,20,4,6,6,1
Doppler,Medium Gaussian SVM,20,0.7604166666666666,0.7222222222222222,0.4166666666666667,0.875,0.625,0.5,21,3,7,5,2
Doppler,Medium Gaussian SVM,20,0.8985507246376813,0.8571428571428571,0.75,0.9130434782608695,0.8181818181818182,0.782608695652174,21,2,3,9,3
Doppler,Medium Gaussian SVM,20,0.8478260869565217,0.7714285714285715,0.5,0.9130434782608695,0.75,0.6,21,2,6,6,4
Doppler,Coarse Gaussian SVM,20,0.8229166666666666,0.7777777777777778,0.4166666666666667,0.9583333333333334,0.8333333333333334,0.5555555555555556,23,1,7,5,0
Doppler,Coarse Gaussian SVM,20,0.6979166666666666,0.7222222222222222,0.5833333333333334,0.7916666666666666,0.5833333333333334,0.5833333333333334,19,5,5,7,1
